"wv,m",B
0.00000166,2.25E+02
0.000001662,2.25E+02
0.000001664,2.23E+02
0.000001666,2.21E+02
0.000001668,2.19E+02
0.00000167,2.23E+02
0.000001672,2.17E+02
0.000001674,2.19E+02
0.000001676,2.16E+02
0.000001678,2.17E+02
0.00000168,2.08E+02
0.000001682,2.05E+02
0.000001684,2.13E+02
0.000001686,2.13E+02
0.000001688,2.12E+02
0.00000169,2.11E+02
0.000001692,2.12E+02
0.000001694,2.11E+02
0.000001696,2.10E+02
0.000001698,2.09E+02
0.0000017,2.06E+02
0.000001702,2.05E+02
0.000001704,2.05E+02
0.000001706,2.05E+02
0.000001708,2.02E+02
0.00000171,2.01E+02
0.000001712,1.98E+02
0.000001714,2.04E+02
0.000001716,2.02E+02
0.000001718,2.01E+02
0.00000172,1.99E+02
0.000001722,1.98E+02
0.000001724,1.95E+02
0.000001726,1.98E+02
0.000001728,1.97E+02
0.00000173,1.98E+02
0.000001732,1.94E+02
0.000001734,1.87E+02
0.000001736,1.83E+02
0.000001738,1.86E+02
0.00000174,1.91E+02
0.000001742,1.90E+02
0.000001744,1.91E+02
0.000001746,1.87E+02
0.000001748,1.87E+02
0.00000175,1.86E+02
0.000001752,1.85E+02
0.000001754,1.86E+02
0.000001756,1.85E+02
0.000001758,1.84E+02
0.00000176,1.83E+02
0.000001762,1.79E+02
0.000001764,1.81E+02
0.000001766,1.82E+02
0.000001768,1.80E+02
0.00000177,1.79E+02
0.000001772,1.79E+02
0.000001774,1.79E+02
0.000001776,1.76E+02
0.000001778,1.75E+02
0.00000178,1.76E+02
0.000001782,1.75E+02
0.000001784,1.74E+02
0.000001786,1.74E+02
0.000001788,1.75E+02
0.00000179,1.73E+02
0.000001792,1.72E+02
0.000001794,1.71E+02
0.000001796,1.71E+02
0.000001798,1.70E+02
0.0000018,1.70E+02
0.000001802,1.67E+02
0.000001804,1.69E+02
0.000001806,1.69E+02
0.000001808,1.69E+02
0.00000181,1.69E+02
0.000001812,1.68E+02
0.000001814,1.66E+02
0.000001816,1.61E+02
0.000001818,1.52E+02
0.00000182,1.60E+02
0.000001822,1.60E+02
0.000001824,1.62E+02
0.000001826,1.63E+02
0.000001828,1.61E+02
0.00000183,1.61E+02
0.000001832,1.59E+02
0.000001834,1.59E+02
0.000001836,1.58E+02
0.000001838,1.56E+02
0.00000184,1.56E+02
0.000001842,1.54E+02
0.000001844,1.54E+02
0.000001846,1.54E+02
0.000001848,1.51E+02
0.00000185,1.55E+02
0.000001852,1.53E+02
0.000001854,1.53E+02
0.000001856,1.51E+02
0.000001858,1.53E+02
0.00000186,1.50E+02
0.000001862,1.50E+02
0.000001864,1.51E+02
0.000001866,1.49E+02
0.000001868,1.49E+02
0.00000187,1.51E+02
0.000001872,1.47E+02
0.000001874,1.40E+02
0.000001876,1.30E+02
0.000001878,1.44E+02
0.00000188,1.46E+02
0.000001882,1.47E+02
0.000001884,1.46E+02
0.000001886,1.44E+02
0.000001888,1.45E+02
0.00000189,1.42E+02
0.000001892,1.41E+02
0.000001894,1.40E+02
0.000001896,1.37E+02
0.000001898,1.39E+02
0.0000019,1.40E+02
0.000001902,1.41E+02
0.000001904,1.39E+02
0.000001906,1.39E+02
0.000001908,1.38E+02
0.00000191,1.38E+02
0.000001912,1.35E+02
0.000001914,1.37E+02
0.000001916,1.36E+02
0.000001918,1.35E+02
0.00000192,1.33E+02
0.000001922,1.35E+02
0.000001924,1.34E+02
0.000001926,1.34E+02
0.000001928,1.32E+02
0.00000193,1.31E+02
0.000001932,1.31E+02
0.000001934,1.32E+02
0.000001936,1.33E+02
0.000001938,1.32E+02
0.00000194,1.30E+02
0.000001942,1.29E+02
0.000001944,1.20E+02
0.000001946,1.19E+02
0.000001948,1.27E+02
0.00000195,1.26E+02
0.000001952,1.26E+02
0.000001954,1.29E+02
0.000001956,1.28E+02
0.000001958,1.27E+02
0.00000196,1.26E+02
0.000001962,1.24E+02
0.000001964,1.22E+02
0.000001966,1.23E+02
0.000001968,1.24E+02
0.00000197,1.24E+02
0.000001972,1.21E+02
0.000001974,1.21E+02
0.000001976,1.22E+02
0.000001978,1.19E+02
0.00000198,1.20E+02
0.000001982,1.21E+02
0.000001984,1.20E+02
0.000001986,1.18E+02
0.000001988,1.20E+02
0.00000199,1.20E+02
0.000001992,1.18E+02
0.000001994,1.16E+02
0.000001996,1.17E+02
0.000001998,1.16E+02
0.000002,1.17E+02
0.000002002,1.16E+02
0.000002004,1.15E+02
0.000002006,1.15E+02
0.000002008,1.15E+02
0.00000201,1.15E+02
0.000002012,1.15E+02
0.000002014,1.14E+02
0.000002016,1.14E+02
0.000002018,1.13E+02
0.00000202,1.12E+02
0.000002022,1.11E+02
0.000002024,1.12E+02
0.000002026,1.12E+02
0.000002028,1.11E+02
0.00000203,1.09E+02
0.000002032,1.10E+02
0.000002034,1.09E+02
0.000002036,1.08E+02
0.000002038,1.06E+02
0.00000204,1.08E+02
0.000002042,1.08E+02
0.000002044,1.08E+02
0.000002046,1.07E+02
0.000002048,1.06E+02
0.00000205,1.06E+02
0.000002052,1.05E+02
0.000002054,1.05E+02
0.000002056,1.05E+02
0.000002058,1.04E+02
0.00000206,1.03E+02
0.000002062,1.02E+02
0.000002064,1.01E+02
0.000002066,1.03E+02
0.000002068,1.02E+02
0.00000207,1.00E+02
0.000002072,1.00E+02
0.000002074,1.01E+02
0.000002076,1.01E+02
0.000002078,1.00E+02
0.00000208,9.88E+01
0.000002082,9.86E+01
0.000002084,9.77E+01
0.000002086,9.85E+01
0.000002088,9.84E+01
0.00000209,9.79E+01
0.000002092,9.57E+01
0.000002094,9.59E+01
0.000002096,9.58E+01
0.000002098,9.62E+01
0.0000021,9.61E+01
0.000002102,9.58E+01
0.000002104,9.56E+01
0.000002106,9.57E+01
0.000002108,9.51E+01
0.00000211,9.40E+01
0.000002112,9.45E+01
0.000002114,9.44E+01
0.000002116,9.33E+01
0.000002118,9.31E+01
0.00000212,9.28E+01
0.000002122,9.28E+01
0.000002124,9.19E+01
0.000002126,9.21E+01
0.000002128,9.23E+01
0.00000213,9.21E+01
0.000002132,9.21E+01
0.000002134,9.16E+01
0.000002136,9.01E+01
0.000002138,9.11E+01
0.00000214,9.08E+01
0.000002142,9.06E+01
0.000002144,9.01E+01
0.000002146,8.94E+01
0.000002148,8.98E+01
0.00000215,8.96E+01
0.000002152,8.91E+01
0.000002154,8.88E+01
0.000002156,8.87E+01
0.000002158,8.84E+01
0.00000216,8.78E+01
0.000002162,8.69E+01
0.000002164,8.46E+01
0.000002166,7.85E+01
0.000002168,8.30E+01
0.00000217,8.56E+01
0.000002172,8.59E+01
0.000002174,8.59E+01
0.000002176,8.53E+01
0.000002178,8.43E+01
0.00000218,8.50E+01
0.000002182,8.43E+01
0.000002184,8.46E+01
0.000002186,8.47E+01
0.000002188,8.28E+01
0.00000219,8.30E+01
0.000002192,8.38E+01
0.000002194,8.35E+01
0.000002196,8.32E+01
0.000002198,8.30E+01
0.0000022,8.27E+01
0.000002202,8.23E+01
0.000002204,8.21E+01
0.000002206,7.97E+01
0.000002208,7.97E+01
0.00000221,8.08E+01
0.000002212,8.11E+01
0.000002214,8.07E+01
0.000002216,7.99E+01
0.000002218,7.97E+01
0.00000222,8.00E+01
0.000002222,7.96E+01
0.000002224,7.93E+01
0.000002226,7.81E+01
0.000002228,7.83E+01
0.00000223,7.83E+01
0.000002232,7.82E+01
0.000002234,7.80E+01
0.000002236,7.76E+01
0.000002238,7.65E+01
0.00000224,7.64E+01
0.000002242,7.64E+01
0.000002244,7.62E+01
0.000002246,7.61E+01
0.000002248,7.52E+01
0.00000225,7.54E+01
0.000002252,7.51E+01
0.000002254,7.40E+01
0.000002256,7.42E+01
0.000002258,7.44E+01
0.00000226,7.42E+01
0.000002262,7.30E+01
0.000002264,7.33E+01
0.000002266,7.32E+01
0.000002268,7.33E+01
0.00000227,7.30E+01
0.000002272,7.28E+01
0.000002274,7.25E+01
0.000002276,7.24E+01
0.000002278,7.24E+01
0.00000228,7.17E+01
0.000002282,7.01E+01
0.000002284,7.13E+01
0.000002286,7.12E+01
0.000002288,7.13E+01
0.00000229,7.11E+01
0.000002292,7.07E+01
0.000002294,6.92E+01
0.000002296,6.91E+01
0.000002298,6.92E+01
0.0000023,6.95E+01
0.000002302,6.96E+01
0.000002304,6.93E+01
0.000002306,6.92E+01
0.000002308,6.90E+01
0.00000231,6.87E+01
0.000002312,6.87E+01
0.000002314,6.83E+01
0.000002316,6.78E+01
0.000002318,6.75E+01
0.00000232,6.77E+01
0.000002322,6.68E+01
0.000002324,6.54E+01
0.000002326,6.56E+01
0.000002328,6.63E+01
0.00000233,6.62E+01
0.000002332,6.58E+01
0.000002334,6.57E+01
0.000002336,6.54E+01
0.000002338,6.50E+01
0.00000234,6.52E+01
0.000002342,6.54E+01
0.000002344,6.51E+01
0.000002346,6.49E+01
0.000002348,6.47E+01
0.00000235,6.45E+01
0.000002352,6.29E+01
0.000002354,6.24E+01
0.000002356,6.28E+01
0.000002358,6.27E+01
0.00000236,6.31E+01
0.000002362,6.31E+01
0.000002364,6.30E+01
0.000002366,6.28E+01
0.000002368,6.26E+01
0.00000237,6.21E+01
0.000002372,6.21E+01
0.000002374,6.07E+01
0.000002376,6.16E+01
0.000002378,6.19E+01
0.00000238,6.17E+01
0.000002382,6.10E+01
0.000002384,5.89E+01
0.000002386,5.91E+01
0.000002388,6.00E+01
0.00000239,6.03E+01
0.000002392,6.01E+01
0.000002394,6.00E+01
0.000002396,6.00E+01
0.000002398,5.99E+01
0.0000024,5.94E+01
0.000002402,5.97E+01
0.000002404,5.95E+01
0.000002406,5.92E+01
0.000002408,5.92E+01
0.00000241,5.90E+01
0.000002412,5.89E+01
0.000002414,5.73E+01
0.000002416,5.60E+01
0.000002418,5.75E+01
0.00000242,5.77E+01
0.000002422,5.77E+01
0.000002424,5.73E+01
0.000002426,5.72E+01
0.000002428,5.71E+01
0.00000243,5.71E+01
0.000002432,5.70E+01
0.000002434,5.64E+01
0.000002436,5.62E+01
0.000002438,5.60E+01
0.00000244,5.64E+01
0.000002442,5.62E+01
0.000002444,5.60E+01
0.000002446,5.50E+01
0.000002448,5.46E+01
0.00000245,5.46E+01
0.000002452,5.43E+01
0.000002454,5.46E+01
0.000002456,5.37E+01
0.000002458,5.39E+01
0.00000246,5.46E+01
0.000002462,5.44E+01
0.000002464,5.44E+01
0.000002466,5.41E+01
0.000002468,5.39E+01
0.00000247,5.29E+01
0.000002472,5.33E+01
0.000002474,5.31E+01
0.000002476,5.34E+01
0.000002478,5.30E+01
0.00000248,5.18E+01
0.000002482,5.14E+01
0.000002484,5.22E+01
0.000002486,5.16E+01
0.000002488,5.17E+01
0.00000249,5.23E+01
0.000002492,5.20E+01
0.000002494,5.18E+01
0.000002496,5.15E+01
0.000002498,5.15E+01
0.0000025,5.16E+01
0.00000252,4.98E+01
0.00000254,4.81E+01
0.00000256,4.67E+01
0.00000258,4.55E+01
0.0000026,4.46E+01
0.00000262,4.31E+01
0.00000264,4.21E+01
0.00000266,4.08E+01
0.00000268,3.97E+01
0.0000027,3.87E+01
0.00000272,3.76E+01
0.00000274,3.66E+01
0.00000276,3.55E+01
0.00000278,3.47E+01
0.0000028,3.39E+01
0.00000282,3.30E+01
0.00000284,3.21E+01
0.00000286,3.12E+01
0.00000288,3.03E+01
0.0000029,2.97E+01
0.00000292,2.89E+01
0.00000294,2.82E+01
0.00000296,2.75E+01
0.00000298,2.68E+01
0.000003,2.61E+01
0.00000302,2.55E+01
0.00000304,2.47E+01
0.00000306,2.42E+01
0.00000308,2.36E+01
0.0000031,2.31E+01
0.00000312,2.25E+01
0.00000314,2.20E+01
0.00000316,2.14E+01
0.00000318,2.10E+01
0.0000032,2.05E+01
0.00000322,2.00E+01
0.00000324,1.95E+01
0.00000326,1.91E+01
0.00000328,1.86E+01
0.0000033,1.80E+01
0.00000332,1.77E+01
0.00000334,1.74E+01
0.00000336,1.70E+01
0.00000338,1.66E+01
0.0000034,1.62E+01
0.00000342,1.58E+01
0.00000344,1.55E+01
0.00000346,1.52E+01
0.00000348,1.49E+01
0.0000035,1.46E+01
0.00000352,1.43E+01
0.00000354,1.39E+01
0.00000356,1.36E+01
0.00000358,1.33E+01
0.0000036,1.31E+01
0.00000362,1.28E+01
0.00000364,1.25E+01
0.00000366,1.22E+01
0.00000368,1.19E+01
0.0000037,1.16E+01
0.00000372,1.15E+01
0.00000374,1.11E+01
0.00000376,1.10E+01
0.00000378,1.08E+01
0.0000038,1.06E+01
0.00000382,1.04E+01
0.00000384,1.02E+01
0.00000386,9.98E+00
0.00000388,9.78E+00
0.0000039,9.60E+00
0.00000392,9.43E+00
0.00000394,9.23E+00
0.00000396,9.03E+00
0.00000398,8.86E+00
0.000004,8.67E+00
0.00000402,8.56E+00
0.00000404,8.39E+00
0.00000406,8.22E+00
0.00000408,8.05E+00
0.0000041,7.89E+00
0.00000412,7.74E+00
0.00000414,7.59E+00
0.00000416,7.44E+00
0.00000418,7.29E+00
0.0000042,7.15E+00
0.00000422,7.02E+00
0.00000424,6.88E+00
0.00000426,6.75E+00
0.00000428,6.62E+00
0.0000043,6.50E+00
0.00000432,6.37E+00
0.00000434,6.25E+00
0.00000436,6.14E+00
0.00000438,6.02E+00
0.0000044,5.91E+00
0.00000442,5.80E+00
0.00000444,5.70E+00
0.00000446,5.59E+00
0.00000448,5.49E+00
0.0000045,5.39E+00
0.00000452,5.30E+00
0.00000454,5.20E+00
0.00000456,5.11E+00
0.00000458,5.02E+00
0.0000046,4.93E+00
0.00000462,4.84E+00
0.00000464,4.76E+00
0.00000466,4.67E+00
0.00000468,4.59E+00
0.0000047,4.51E+00
0.00000472,4.44E+00
0.00000474,4.36E+00
0.00000476,4.29E+00
0.00000478,4.21E+00
0.0000048,4.14E+00
0.00000482,4.07E+00
0.00000484,4.00E+00
0.00000486,3.94E+00
0.00000488,3.87E+00
0.0000049,3.81E+00
0.00000492,3.74E+00
0.00000494,3.68E+00
0.00000496,3.62E+00
0.00000498,3.56E+00
0.000005,3.50E+00
